bp_code,display_order,stage_name,stage_topic,stage_summary,period_start_date,period_end_date,fixed_investment_amount,sales_investment_amount,expected_gmv_amount,expected_profit_amount,cumulative_cashflow_amount,sales_cost_positive_flag
2026-1-US,1,冷启动,小规模验证跑通盈利模型,以华人留学生为种子用户，在低成本投入下验证“获客-转化-二次消费-盈利”闭环；依托校园场景、机票盲盒、集团机酒供应链与 TicketNetwork 白标资源完成冷启动。,2026Q3,2027Q1,-400000,-750000,6000000,1100000,-50000,FALSE
2026-1-US,2,成长期,供应链建设,将已验证打法复制至全美高校，自建本地玩乐与小交通直采供应链，形成高毛利护城河，并利用溢出流量灰度验证美国本土市场能力。,2027Q2,2027Q4,-440000,-1400000,11000000,2000000,110000,TRUE
2026-1-US,3,扩展期,破圈进入美国主流市场,从“针对华人留学生的旅行玩乐平台”升级为“面向美国本土 Z 世代大学生的主流旅行平台”，依托拉美短途独家供给、Meta 比价流量承接、校园裂变与广告变现打开增长与利润空间。,2028Q1,2028Q4,-780000,-4000000,30000000,5600000,930000,TRUE
2026-2-AU,1,冷启动,小规模验证跑通盈利模型,以接送机业务切入市场，跑通用车链路,2027Q1,2027Q4,-11500000,-232200,8260000,-6985000,-18717200,FALSE
2026-2-AU,2,成长期,供应链搭建,将车队、酒店民宿、景区等资源覆盖至全澳重点州府,2027Q2,2030Q4,-19920000,-398740,5985230,-8726900,-47762840,FALSE
2026-2-AU,3,扩展期,形成固定盈利产品,利用已有资源形成可盈利的固定产品，以定制游，主题游为主要钩子开通外国市场。,2028Q1,2030Q4,-37115300,-1328380,237444500,7338600,-78867920,TRUE
2026-5-SG,1,冷启动,进入新加坡市场,战略性硬损，通过机票切入人群，机票让利， 成本集中在搭建基建和前端,2026Q3,2026Q3,-51427,-132680,1242000,-282011,-466118,FALSE
2026-5-SG,2,成长期,线上+线下获客,线上+线下获客，通过打折酒套吸引用户,2026Q4,2026Q4,-89433,-21500,3033900,91639,-485412,FALSE
2026-5-SG,3,扩展期,盈利模式,透过嵌入新加坡本地主流app，用户开始自然裂变+复购，打折酒套，上架全全品类产品,2027Q1,2027Q2,-451435,-40300,5996600,139062,-838085,FALSE
